numer_sta,date,t,u,pres,tend24
7190,20200107060000,276.450000,98,101040,-250
7481,20200107060000,274.750000,97,100240,100
7630,20200107060000,279.550000,92,101530,560
7690,20200107060000,282.150000,66,102250,-490
7015,20200107090000,279.450000,100,102220,100
7110,20200107090000,284.850000,100,101520,390
7149,20200107090000,279.450000,99,101940,270
7190,20200107090000,278.250000,90,101320,70
7481,20200107090000,276.650000,93,100320,200
7630,20200107090000,280.550000,89,101590,550
7690,20200107090000,282.450000,63,102210,-610
7015,20200107120000,280.950000,92,102180,410
7110,20200107120000,285.250000,100,101470,480
7149,20200107120000,280.850000,96,101900,440
7190,20200107120000,280.250000,84,101310,280
7481,20200107120000,280.150000,93,100260,330
7630,20200107120000,282.950000,78,101510,520
7690,20200107120000,284.850000,56,102120,-570
7015,20200107150000,281.950000,85,102010,450
7110,20200107150000,285.150000,100,101320,280
7149,20200107150000,281.650000,95,101770,490
7190,20200107150000,282.250000,68,101270,370
7481,20200107150000,280.650000,88,100130,320
7630,20200107150000,283.950000,74,101410,410
7690,20200107150000,286.650000,67,102130,-410
7015,20200107180000,280.250000,89,101980,340
7110,20200107180000,284.950000,100,101320,60
7149,20200107180000,281.550000,99,101750,190
7190,20200107180000,276.850000,87,101340,480
7481,20200107180000,279.150000,96,100190,310
7630,20200107180000,281.850000,83,101440,240
7690,20200107180000,282.550000,68,102250,-290
7015,20200107210000,281.150000,98,101890,260
7110,20200107210000,285.050000,100,101320,-100
7149,20200107210000,282.050000,99,101710,220
7190,20200107210000,274.050000,98,101240,370
7481,20200107210000,279.150000,96,100200,150
7630,20200107210000,278.850000,94,101420,-10
7690,20200107210000,281.050000,70,102310,-210
7015,20200108000000,282.450000,98,101720,-20
7110,20200108000000,285.250000,100,101320,-180
7149,20200108000000,283.450000,99,101620,0
7190,20200108000000,272.550000,99,101170,350
7481,20200108000000,277.750000,96,100190,170
7630,20200108000000,277.250000,97,101420,-60
7690,20200108000000,280.050000,71,102440,10
7015,20200108030000,283.950000,97,101710,-290
7110,20200108030000,284.650000,100,101330,-140
7149,20200108030000,284.650000,96,101560,-240
7190,20200108030000,272.050000,100,101180,210
7481,20200108030000,275.150000,97,100230,40
7630,20200108030000,276.550000,97,101350,-140
7690,20200108030000,279.950000,66,102520,210
7015,20200108060000,284.750000,98,101690,-370
7110,20200108060000,284.650000,100,101350,-70
7149,20200108060000,284.750000,94,101520,-250
7190,20200108060000,273.450000,99,101140,100
7481,20200108060000,276.750000,99,100230,-10
7630,20200108060000,277.650000,97,101320,-210
7690,20200108060000,280.050000,59,102550,300
7015,20200108090000,284.950000,96,101840,-380
7110,20200108090000,284.750000,100,101410,-110
7149,20200108090000,284.550000,94,101660,-280
7190,20200108090000,275.350000,95,101210,-110
7481,20200108090000,276.850000,95,100360,40
7630,20200108090000,279.450000,95,101450,-140
7690,20200108090000,282.350000,48,102700,490
7015,20200108120000,285.150000,98,101850,-330
7110,20200108120000,284.750000,100,101350,-120
7149,20200108120000,284.750000,95,101650,-250
7190,20200108120000,279.050000,87,101110,-200
7481,20200108120000,280.150000,84,100260,0
7630,20200108120000,284.150000,82,101310,-200
7690,20200108120000,287.850000,34,102650,530
7015,20200108150000,284.850000,93,101840,-170
7110,20200108150000,284.650000,100,101150,-170
7149,20200108150000,284.950000,96,101550,-220
7190,20200108150000,280.650000,87,101040,-230
7481,20200108150000,282.150000,76,100160,30
7630,20200108150000,286.150000,76,101140,-270
7690,20200108150000,288.550000,62,102660,530
7015,20200108180000,284.350000,98,101860,-120
7110,20200108180000,284.450000,100,101010,-310
7149,20200108180000,284.550000,96,101570,-180
7190,20200108180000,279.950000,92,101030,-310
7481,20200108180000,281.450000,77,100200,10
7630,20200108180000,284.850000,81,101140,-300
7690,20200108180000,282.150000,70,102750,500
7015,20200108210000,284.250000,99,101690,-200
7110,20200108210000,284.650000,100,100780,-540
7149,20200108210000,284.450000,95,101440,-270
7190,20200108210000,280.350000,92,100960,-280
7481,20200108210000,279.750000,81,100120,-80
7630,20200108210000,281.550000,95,101080,-340
7690,20200108210000,281.950000,56,102730,420
7015,20200109000000,284.550000,96,101420,-300
7110,20200109000000,285.050000,100,100510,-810
7149,20200109000000,284.450000,92,101270,-350
7190,20200109000000,280.550000,92,100830,-340
7481,20200109000000,279.650000,79,100060,-130
7630,20200109000000,281.950000,87,100930,-490
7690,20200109000000,281.450000,52,102660,220
7015,20200109030000,284.850000,93,101120,-590
7110,20200109030000,284.750000,100,100340,-990
7149,20200109030000,284.450000,91,101030,-530
7190,20200109030000,280.450000,96,100700,-480
7481,20200109030000,277.450000,78,99850,-380
7630,20200109030000,282.250000,83,100770,-580
